hip,ra_deg,dec_deg,v_mag,b_v
25,0.07956353,-44.29056147,6.28,0.763
34,0.09958476,26.91810825,6.43,0.514
43,0.12870233,59.55967936,6.18,1.032
50,0.14308505,-53.09771264,6.49,0.616
63,0.18180951,45.25333358,6.36,-0.047
88,0.26909344,-48.80987560,5.71,0.911
106,0.33021487,49.98155781,6.22,0.970
107,0.33383021,-50.33737333,5.53,1.615
122,0.39876554,-77.06572447,4.78,1.254
124,0.40423123,61.22280080,5.58,0.407
128,0.41441548,73.61184660,6.50,0.182
137,0.43270606,42.36714391,6.25,-0.042
145,0.45603512,-3.02750382,5.13,-0.128
154,0.49007900,-6.01407212,4.37,1.631
171,0.54231321,27.08225603,5.80,0.690
183,0.58300278,-29.72041402,5.04,-0.150
186,0.60069578,8.95682361,6.33,0.182
194,0.62375948,8.48546309,5.70,0.315
207,0.65036241,66.09896618,5.87,1.073
238,0.73953381,-20.04588213,6.25,0.526
253,0.78273045,-24.14514551,6.46,1.176
274,0.85713616,63.64051986,6.24,0.332
301,0.93495762,-17.33598771,4.55,-0.047
302,0.96516239,66.71218292,6.31,1.629
330,1.05692695,62.28766370,5.90,0.274
343,1.08247517,-16.52903618,5.78,1.084
345,1.08465585,-29.26882170,6.38,0.006
355,1.12549376,-10.50952331,4.99,1.619
365,1.15244468,42.09253054,6.11,0.159
377,1.17211746,-71.43689145,5.59,-0.100
379,1.17492163,67.16644546,5.68,1.051
394,1.22400057,34.65979682,6.09,0.632
399,1.23333543,26.64876429,6.25,1.368
410,1.25495522,27.67478382,6.47,0.946
417,1.26592816,-0.50303549,6.32,1.099
418,1.27562467,61.31397012,5.80,-0.067
443,1.33392048,-5.70761820,4.61,1.029
476,1.42483879,13.39626645,5.55,0.901
518,1.56589255,58.43673285,5.98,0.687
522,1.57989765,-49.07519111,5.70,0.519
531,1.61058271,64.19616861,5.57,-0.023
544,1.65326652,29.02150171,6.07,0.752
560,1.70869275,-23.10753988,6.19,0.386
602,1.82611113,-17.38698966,6.20,0.133
635,1.93380486,-2.54867948,6.43,-0.146
636,1.94541637,-22.50855978,5.93,0.141
655,2.01453070,-33.52932605,5.67,1.119
664,2.05040062,-2.44771079,6.18,1.366
671,2.07305222,-8.82411211,5.99,1.034
677,2.09691071,29.09043199,2.07,-0.038
695,2.13689902,63.20404041,6.41,0.998
696,2.13957031,-17.57815508,6.11,1.664
699,2.17057570,36.62712509,6.21,0.504
716,2.21723556,25.46298481,6.24,0.976
728,2.25067139,28.24754279,6.47,0.242
729,2.26010290,18.21196314,5.57,1.043
730,2.25997397,-54.00193122,6.32,0.738
746,2.29452113,59.14977960,2.28,0.380
760,2.33406550,79.71454544,6.01,0.203
761,2.33778595,-27.98792818,5.42,0.414
765,2.35267495,-45.74742618,3.88,1.013
798,2.46715583,-62.29679433,6.34,0.164
813,2.50917617,11.14581307,5.54,-0.064
814,2.50906524,-82.22404699,5.29,1.049
840,2.57862406,-5.24858764,5.84,0.973
841,2.58019098,46.07227168,5.01,0.405
873,2.67847777,-12.57989671,5.84,1.000
910,2.81607181,-15.46797744,4.89,0.487
930,2.89341697,-27.79973666,5.41,1.346
950,2.93336928,-35.13311958,5.24,0.459
967,2.99618790,48.15239646,6.18,1.467
983,3.04160825,-17.93827767,5.29,1.478
1009,3.14235425,44.70719512,6.50,1.112
1067,3.30897012,15.18359590,2.83,-0.190
1074,3.33175776,-84.99397839,5.78,1.710
1076,3.34967881,26.98754547,6.24,0.680
1086,3.37850157,41.03536964,5.71,0.331
1096,3.42602016,-26.02234535,5.94,1.548
1099,3.43490610,-26.28495899,6.14,1.490
1123,3.50950466,33.20603919,6.22,0.009
1158,3.61511753,-7.78053210,5.13,1.601
1168,3.65068528,20.20670177,4.79,1.572
1170,3.66006652,-18.93286561,4.44,1.640
1191,3.72714477,-9.56957107,5.77,-0.084
1193,3.73291262,22.28422511,6.25,-0.004
1195,3.74275886,-34.90422288,6.17,1.344
1196,3.74516393,8.82096213,6.02,0.312
1208,3.77895988,31.53572466,6.34,1.555
1215,3.79401779,27.28343979,6.35,-0.002
1268,3.97872374,-75.91161530,6.49,0.983
1269,3.97852674,61.00017237,6.43,0.838
1288,4.03694261,-31.44639410,5.66,1.350
1296,4.05806563,76.95075506,6.35,-0.044
1302,4.08970517,43.59504921,6.12,0.068
1319,4.14183649,8.24015427,6.12,0.919
1331,4.17643017,-20.21006086,6.50,-0.108
1354,4.23768117,61.53318556,5.74,0.898
1366,4.27290947,38.68163564,4.61,0.059
1372,4.28768216,47.94740530,5.86,-0.079
1402,4.38626266,-19.05109159,6.46,0.386
1415,4.42942381,51.43309028,6.11,-0.151
1421,4.44874114,1.68872709,6.19,0.937
1465,4.57185740,11.20621385,6.07,1.036
1473,4.58190370,36.78522405,4.51,0.054
1493,4.65940621,31.51722681,5.88,-0.014
1499,4.67444862,-8.05300142,6.47,0.674
1501,4.67570361,43.79114120,6.10,-0.074
1502,4.67734231,-43.23557065,6.33,1.210
1562,4.85697730,-8.82392145,3.56,1.214
1575,4.92316566,40.72946069,6.35,1.179
1599,5.01775052,-64.87479041,4.23,0.576
1630,5.10167651,30.93561358,5.89,-0.098
1639,5.12887060,48.96863284,6.46,0.564
1645,5.14942330,8.19027134,5.38,1.343
1647,5.16265059,-69.62491310,5.50,-0.046
1657,5.18965919,32.91118651,5.79,1.595
1686,5.28028766,37.96860317,5.16,0.442
1706,5.36992048,-77.42687264,5.96,1.397
1708,5.37999249,-28.98146883,5.18,1.006
1728,5.44280716,-20.05802357,5.61,1.580
1772,5.60618151,13.48248843,6.25,1.225
1803,5.71578446,-12.20943813,6.39,0.659
1821,5.76832494,-15.94255628,6.43,1.595
1921,6.06523854,52.01991398,5.58,-0.110
1939,6.12353807,-2.21906450,6.08,1.216
1948,6.15897939,14.31551416,6.48,1.161
1960,6.19793946,61.83105752,5.38,0.008
1982,6.27671131,53.04678574,5.72,-0.056
2006,6.35086824,1.93969241,5.77,0.855
2021,6.43780017,-77.25424559,2.82,0.618
2072,6.55084089,-43.67982953,3.93,0.175
2081,6.57104571,-42.30598151,2.40,1.083
2086,6.59063442,-18.69363250,6.24,1.622
2100,6.65589128,-0.04953269,6.16,0.893
2159,6.81128534,-25.54717034,5.99,1.022
2178,6.87945648,16.02548298,6.44,0.230
2210,6.98207670,-33.00716708,4.86,1.634
2213,6.99360814,19.51403887,6.40,0.990
2219,7.01214583,17.89312479,5.01,1.584
2224,7.05293302,16.44506552,6.05,1.580
2225,7.05689073,44.39445199,5.18,0.043
2235,7.08354832,10.18984766,6.05,0.447
2237,7.08790055,-20.33505057,6.44,0.594
2240,7.11050391,-39.91500236,5.42,1.556
2256,7.17969687,-50.53285929,6.26,1.090
2270,7.23609127,36.89969434,6.28,0.916
2337,7.46623887,-14.86410912,6.15,0.388
2353,7.50982453,-3.95733189,5.72,1.545
2355,7.53068761,29.75155669,5.20,0.271
2377,7.58305272,59.97755442,5.94,-0.003
2381,7.59439188,-23.78768034,5.17,0.128
2383,7.60882391,-48.21491040,5.67,0.367
2388,7.61593870,-40.93958587,6.18,0.315
2422,7.72949979,77.01940431,6.18,0.883
2472,7.85408632,-48.80351439,4.76,0.018
2474,7.85512589,66.51961732,6.18,-0.100
2475,7.85683233,33.58164217,5.88,1.133
2484,7.88611087,-62.95821764,4.36,-0.064
2487,7.88945045,-62.96556114,4.53,0.147
2497,7.92148970,52.83952650,5.59,1.163
2505,7.94316214,54.52228873,4.74,-0.098
2548,8.09909149,6.95546321,5.69,-0.014
2568,8.14785798,20.29431643,5.38,1.069
2578,8.18293786,-63.03149984,5.07,0.038
2583,8.20452929,28.28024062,6.26,0.965
2599,8.24996522,62.93178271,4.17,0.130
2611,8.29331086,54.89498495,5.93,1.037
2628,8.33027900,70.98184323,6.41,-0.007
2629,8.34732858,-71.26624641,6.11,0.265
2661,8.42101003,-29.55827820,5.55,1.262
2663,8.43252523,-35.00207835,6.41,0.617
2707,8.60383943,66.75035143,6.47,-0.049
2711,8.61596951,-52.37309006,5.57,0.472
